3,Afghanistan
6,Albania
58,Algeria
1,Andorra
9,Angola
4,Antigua and Barbuda
11,Argentina
7,Armenia
14,Australia
13,Austria
16,Azerbaijan
30,Bahamas
23,Bahrain
24,Bangladesh
18,Barbados
33,Belarus
20,Belgium
34,Belize
25,Benin
28,Bolivia (Plurinational State of)
17,Bosnia and Herzegovina
32,Botswana
29,Brazil
27,Brunei Darussalam
22,Bulgaria
21,Burkina Faso
19,Burundi
49,Cabo Verde
110,Cambodia
44,Cameroon
35,Canada
43,Chile
45,China
46,Colombia
112,Comoros
39,Congo
42,Cook Islands
47,Costa Rica
41,Côte d'Ivoire
93,Croatia
48,Cuba
51,Cyprus
52,Czechia
114,Democratic People's Republic of Korea
37,Democratic Republic of the Congo
55,Denmark
54,Djibouti
56,Dominica
57,Dominican Republic
59,Ecuador
61,Egypt
198,El Salvador
83,Equatorial Guinea
63,Eritrea
60,Estonia
200,Eswatini
65,Ethiopia
67,Fiji
66,Finland
71,France
72,Gabon
80,Gambia
75,Georgia
53,Germany
77,Ghana
84,Greece
74,Grenada
86,Guatemala
81,Guinea
88,Guinea-Bissau
89,Guyana
94,Haiti
92,Honduras
95,Hungary
103,Iceland
99,India
96,Indonesia
102,Iran (Islamic Republic of)
101,Iraq
97,Ireland
98,Israel
104,Italy
105,Jamaica
107,Japan
106,Jordan
118,Kazakhstan
108,Kenya
111,Kiribati
116,Kuwait
119,Lao People's Democratic Republic
128,Latvia
120,Lebanon
125,Lesotho
124,Liberia
129,Libya
122,Liechtenstein
126,Lithuania
127,Luxembourg
133,Madagascar
147,Malawi
149,Malaysia
146,Maldives
136,Mali
144,Malta
134,Marshall Islands
142,Mauritania
145,Mauritius
148,Mexico
69,Micronesia (Federated States of)
131,Monaco
138,Mongolia
273,Montenegro
130,Morocco
150,Mozambique
137,Myanmar
151,Namibia
160,Nauru
159,Nepal
157,Netherlands
162,New Zealand
156,Nicaragua
153,Niger
155,Nigeria
161,Niue
135,North Macedonia
158,Norway
163,Oman
169,Pakistan
175,Palau
164,Panama
167,Papua New Guinea
176,Paraguay
165,Peru
168,Philippines
170,Poland
174,Portugal
177,Qatar
115,Republic of Korea
132,Republic of Moldova
179,Romania
180,Russian Federation
113,Saint Kitts and Nevis
121,Saint Lucia
223,Saint Vincent and the Grenadines
230,Samoa
193,San Marino
197,Sao Tome and Principe
182,Saudi Arabia
194,Senegal
272,Serbia
184,Seychelles
192,Sierra Leone
187,Singapore
191,Slovakia
189,Slovenia
183,Solomon Islands
195,Somalia
234,South Africa
64,Spain
123,Sri Lanka
185,Sudan
196,Suriname
186,Sweden
40,Switzerland
199,Syrian Arab Republic
205,Tajikistan
204,Thailand
210,Timor-Leste
203,Togo
209,Tonga
212,Trinidad and Tobago
208,Tunisia
211,Türkiye
207,Turkmenistan
213,Tuvalu
217,Uganda
216,Ukraine
2,United Arab Emirates
73,United Kingdom
215,United Republic of Tanzania
219,United States
220,Uruguay
221,Uzbekistan
228,Vanuatu
224,Venezuela (Bolivarian Republic of)
227,Viet Nam
231,Yemen
235,Zambia
236,Zimbabwe
