Indicator,Fref/F,Fref/F,Fref/F,B/Bref,B/Bref,B/Bref,SAD/TAC,SAD/TAC,SAD/TAC,TAC/Catch,TAC/Catch,TAC/Catch
Year,2012,2016,most recent,2012,2016,most recent,2012,2016,most recent,2012,2016,most recent
Belgium,0.842788529173951,0.892536713647141,0.971828179901185,0.919822548433205,0.946628039889542,0.918713862478919,0.982927461911514,0.970710520184792,0.966157195673523,0.784801297710838,0.95507004936209,0.972558923727438
Estonia,0.950382989815767,0.825734456631529,0.775626462941805,0.998394231507324,0.999333473316847,0.956798085669637,0.927532087058172,0.862541534950329,0.909001479327944,0.98404499879262,0.994355070937772,0.964786885689339
Faroere Islands,0.992591318639677,0.832585131302139,0.900812574830584,0.994078745880477,0.998430075973442,0.99905960884202,0.809040033953296,0.726656106958513,0.787132793748449,0.995444653121097,0.969104750316681,0.956807999599467
Finland,0.99177365311527,0.912297355171246,0.828409163620593,0.998430724294089,0.999412512720183,0.959091447912472,0.994406555793436,0.977491442311309,0.956195025273553,0.989425679539957,0.998438181006055,0.921226890035696
France,0.910137667224097,0.935485098490612,0.9393825736601,0.971156812374079,0.969367017529231,0.963693350470772,0.903239540394309,0.914595695891851,0.92379607014536,0.841687567069571,0.912790432757104,0.978735272388384
Germany,0.812839361636353,0.872619235596082,0.908314321558532,0.900884170930072,0.932815185333434,0.934399566764646,0.906550515286384,0.853959149381942,0.877379170210565,0.978901774568688,0.960750838598175,0.962548208041123
Greenland,0.838676095109916,0.812920834052088,0.732311637899602,0.980845966697569,0.981776340187267,0.994272434185264,0.733127538304617,0.638931614583041,0.586717485901157,0.987603521301238,0.980051307367843,0.98421454761331
Iceland,0.925420795582297,0.786398654132178,0.882222690116295,0.997578031107864,0.983826996830508,0.99692403733513,0.964304312954392,0.896068295855534,0.864314353349105,0.962555474101696,0.95410554307202,0.963902866404291
Ireland,0.710537897990507,0.626852029769919,0.867703300418249,0.921308612235499,0.854371919705398,0.89825423785472,0.981263847590427,0.873536873083006,0.757530580768692,0.957399769071902,0.943520008913316,0.97971416818589
Latvia,0.943185416763648,0.894061092936961,0.813811343403274,0.975646853595945,0.995654121376881,0.973607826138139,0.917156038649842,0.825413150724961,0.913244122655923,0.993894193168065,0.990080969747337,0.966961038687861
Lithuania,0.917873072615244,0.831260012848602,0.82901621282397,0.923824830071469,0.991919849627726,0.962548169942187,0.960647112326221,0.843786737091497,0.889195906476758,0.981551501398332,0.980052294244491,0.952098011622882
Netherlands,0.858838037746261,0.882789689644613,0.938349098963367,0.927364419048367,0.898563569190934,0.967062942253112,0.95566376226418,0.887610108009061,0.892148335720111,0.929863090240543,0.95043900329568,0.971585990798374
Norway,0.995432849775766,0.941542163197359,0.916262766289882,0.992739561662248,0.949877736873757,0.981362584553548,0.955702109645291,0.853451786112345,0.862350998948739,0.987844718377322,0.972416659080951,0.982655511279329
Poland,0.892635800356787,0.895800109824968,0.748534704411727,0.965688840098242,0.981352561953272,0.922843198146738,0.949169947166006,0.807697287790955,0.868330895422146,0.997624083650757,0.987974926415371,0.94911954019751
Portugal,0.7873271116107,0.841612762850154,0.948428066859574,0.987462824669165,0.977864051867875,0.987941842781957,0.988623295927751,0.945962743640592,0.919516783129565,0.960655829576774,0.975420630032279,0.989633055610455
Russia,0.996243353082538,0.936148005534964,0.872654721402365,0.989491024083452,0.993209116592676,0.985497675639227,0.967113075139149,0.84791326623823,0.864727668692884,0.99724862763329,0.986162543061109,0.985246412519309
Spain,0.92064992078069,0.88531210219697,0.919376908961517,0.994438292181352,0.969308004108293,0.965043704002757,0.912620368676261,0.845896030437363,0.883438570600708,0.816194921721647,0.945045394320129,0.985177134758453
Sweden,0.914754166849543,0.782257665036742,0.749625497258808,0.964300340200774,0.971718332028287,0.91413094261281,0.901553664558795,0.891592065984463,0.873371508774915,0.967053340050353,0.984848969069249,0.956002026951746
United Kingdom,0.981350980799536,0.958727976006547,0.907612772066449,0.967157273107748,0.956369011985559,0.972602988143324,0.794515053046796,0.813269291040077,0.829548854090847,0.957344989174222,0.93625840894756,0.981667257649506
Denmark,0.954194992482581,0.858496791468192,0.885294451747803,0.960311509702546,0.95816545219159,0.957306336825142,0.846600927184033,0.77694543226814,0.840364270238035,0.943851261199102,0.961967384915356,0.96258763869629
