Country:text,Natura 2000 surface area:number,Natura 2000 cover in national waters:number
Cyprus,131.447,0.135
Portugal,2614.303,0.152
Malta,191.775,0.318
Spain,10456.213,0.984
Slovenia,7.936,0.996
Italy,6608.124,1.116
Ireland,6815.676,1.515
Bulgaria,989.76,2.822
Sweden,9121.605,5.817
Greece,6928.564,6.024
Romania,1885.615,6.438
United Kingdom,58041.344,8.009
Finland,7109.956,8.738
Lithuania,668.585,9.812
France,41495.593,11.276
Latvia,4381.5,15.106
Denmark,19060.523,18.077
Estonia,6754.068,18.509
Netherlands,11669.741,18.719
Poland,7235.22,21.839
Belgium,1270.628,36.419
Germany,25604.811,44.759
