,2012,2016,2021
Belgium,8.066332,8.057062,nan
Germany,8.067738,8.070016,8.077536
Denmark,8.085134,8.0792885,8.070046
Estonia,8.02835,8.063891,8.037472
Spain,8.090724,8.081096,8.072152
Finland,8.027017,8.057165,8.027941
France,8.093457,8.0852,8.074092
Ireland,8.0959425,8.085807,8.075813
Lithuania,8.03648,8.073564,8.051622
Latvia,8.014241,8.056093,8.028847
Netherlands,8.090213,8.080618,8.074925
Poland,7.9903526,8.026374,7.998264
Portugal,8.083951,8.076958,8.065255
Sweden,8.027938,8.054279,8.028696
United Kingdom,8.0955105,8.086634,8.077896
