fish,Most recent assessment with corresponding report,Year,Catches (stockass),SAD,TAC,Catches (pdfs),done?,report,SAD_landings,Landings,Discards,catchesCal,missingYear,missingSAD
her.27.28,,1987,,8000.0,,,,,,,,,,
her.27.28,,1988,,6000.0,,,,,,,,,,
her.27.28,,1989,,20000.0,,,,,,,,,,
her.27.28,,1990,,20000.0,,,,,,,,,,
her.27.28,,1991,,,,,,,,,,,,
her.27.28,,1992,,,,,,,,,,,,
her.27.28,,1993,,,,,,,,,,,,
her.27.28,,1994,,,,,,,,,,,,
her.27.28,,1995,,,,,,,,,,,,
her.27.28,,1996,,,,,,,,,,,,
her.27.28,,1997,,35000.0,,,,,,,,,,
her.27.28,,1998,,35000.0,,,,,,,,,,
her.27.28,,1999,,34000.0,,,,,,,,,,
her.27.28,,2000,,37000.0,,,,,,,,,,
her.27.28,,2001,,34100.0,,,,,,,,,,
her.27.28,,2002,,33200.0,,,,,,,,,,
her.27.28,,2003,,41000.0,41000.0,,,,,,,,,
her.27.28,,2004,,39000.0,39300.0,,,,,,,,,
her.27.28,,2005,,35300.0,38000.0,,,,,,,,,
her.27.28,,2006,,39900.0,40000.0,,,,,,,,,
her.27.28,,2007,,33900.0,37500.0,,,,,,,,,
her.27.28,,2008,,30100.0,36100.0,,,,,,,,,
her.27.28,,2009,,31500.0,34900.0,,,,,,,,,
her.27.28,,2010,,33400.0,36400.0,,,,,,,,,
her.27.28,,2011,,33000.0,32700.0,,,,,,,,,
her.27.28,,2012,,25500.0,30600.0,,,,,,,,,
her.27.28,,2013,,23200.0,30600.0,,,,,,,,,
her.27.28,,2014,,25800.0,30700.0,,,,,,,,,
her.27.28,,2015,,34300.0,38800.0,,,,,,,,,
her.27.28,,2016,,26200.0,34900.0,,,,,,,,,
her.27.28,,2017,,23100.0,31100.0,,,,,,,,,
her.27.28,,2018,,,28999.0,,,,,,,,,
her.27.28,,2019,,,31044.0,,,,,,,,,
her.27.28,,2020,,,34445.0,,,,,,,,,
her.27.28,,2021,,35771.0,39446.0,,,,,,,,,
her.27.28,,2022,,44945.0,47697.0,,,,,,,,,
her.27.28,,2023,,43226.0,,,,,,,,,,
