fish,Year,ICES advice,Catch corresp. to advice for SDs 21–23,Catch corresp. to advice for Skagerrak and Kattegat combined,TAC Kattegat (SD 21),TAC Baltic Sea (SDs 22–32),ICES landings (SDs 21–23),Discards (SDs 21–23)
ple.27.21-23,1992,TAC,,14 000,2 800,,2 700,
ple.27.21-23,1993,Precautionary TAC,,,2 800,,1 700,
ple.27.21-23,1994,"If required, precautionary TAC",,,2 800,,2 100,
ple.27.21-23,1995,"If required, precautionary TAC",,,2 800,,2 100,
ple.27.21-23,1996,"If required, precautionary TAC",,,2 800,,3 500,
ple.27.21-23,1997,No advice,,,2 800,,3 400,
ple.27.21-23,1998,No increase in F from the present level,,11 900,2 800,,2 900,
ple.27.21-23,1999,No increase in F from the present level,,11 000,2 800,,3 400,2 313
ple.27.21-23,2000,F  Fpa,,11 800,2 800,,3 900,2 313
ple.27.21-23,2001,F  Fpa,,9 400,2 350,,4 100,2 313
ple.27.21-23,2002,F  Fpa,,8 500,1 600,,3 900,4 357
ple.27.21-23,2003,F  Fpa,,18 400,3 000,,3 400,2 004
ple.27.21-23,2004,F  Fpa,,,1 800,,2 600,1 368
ple.27.21-23,2005,F  Fpa,,9 500,1 900,,2 400,1 197
ple.27.21-23,2006,No increase in F,,9 600,1 900,,2 400,1 769
ple.27.21-23,2007,Maintain current TAC,,9 600,2 100,,2 600,1 190
ple.27.21-23,2008,No increase in catch,,9 400,2 300,,2 000,1 901
ple.27.21-23,2009,Same advice as last year,,9 400,2 300,,1 700,1 447
ple.27.21-23,2010,Same advice as last year,,9 400,2 300,,1 500,1 488
ple.27.21-23,2011,Last three years’ (2007–2009) average landings,,8 000,1 988,3 041,1 600,2 045
ple.27.21-23,2012,Reduce catch,,,1 988,2 889,1 800,1 350
ple.27.21-23,2013,"Increase catch by 16%, transition to FMSY",1 800,,1 800,3 409,2 000,1 637
ple.27.21-23,2014,Increase landings by 20%,2 224,,2 160,3 409,1 931,1 946
ple.27.21-23,2015,Increase catch by 20%,4 031,,2 626,3 409,2 687,1 021
ple.27.21-23,2016,MSY approach,8 639,,2 347,4 034,3 020,1 501
ple.27.21-23,2017,MSY approach,8 333,,2 343,7 862,3 253,988
ple.27.21-23,2018,MSY approach,5 405,,1 483,7 076,3 459,1 387
ple.27.21-23,2019,Precautionary approach,15 237,,1 705,10 122,4 334,1 054
ple.27.21-23,2020,Precautionary approach,10 636,,1 141,6 894,3 409,1 061
ple.27.21-23,2021,MSY approach,5 176,,719,7 240,2126,927
ple.27.21-23,2022,MSY approach,8 821,,1038†,9 050,,
ple.27.21-23,2023,MSY approach,11 914,,,,,
